"Endpoint","Avg","P95","P90","Med","Max","Failed","Checks","Reqs"
"courses-auth-check","119.04ms","358.44ms","208.66ms","72.65ms","1.63s","0.00%","100.00% 3182 out of 3182","3182   15.090315/s"
"courses-list","333.82ms","906.33ms","791.45ms","207.37ms","2.19s","0.00%","100.00% 2673 out of 2673","2673   12.708979/s"
"gamification-badges","318.54ms","911.57ms","707.44ms","200.2ms","2.29s","0.00%","100.00% 2701 out of 2701","2701   12.798376/s"
"gamification-daily-challenges","229.3ms","784.19ms","598.29ms","99.98ms","1.99s","0.00%","100.00% 2895 out of 2895","2895   13.781402/s"
"notifications-all","174.27ms","597.24ms","402.33ms","84.22ms","1.83s","0.00%","100.00% 3034 out of 3034","3034   14.375739/s"
"notifications-unread","96.22ms","222.86ms","124.95ms","72.67ms","1.01s","0.00%","100.00% 3246 out of 3246","3246   15.441906/s"
"practice-history","145.42ms","592.74ms","308.03ms","77.89ms","1.7s","0.00%","100.00% 3110 out of 3110","3110   14.739061/s"
"practice-suggestion","91.4ms","199.33ms","103.39ms","69.16ms","1.5s","0.00%","100.00% 3260 out of 3260","3260   15.514843/s"
"recommendations-ai-coach","205.87ms","608.3ms","480.71ms","109ms","1.68s","0.00%","100.00% 2949 out of 2949","2949   13.976626/s"
"recommendations-dashboard","74.27ms","99.9ms","89.63ms","68.91ms","585.1ms","0.00%","100.00% 3310 out of 3310","3310   15.683138/s"
"recommendations-predict","112.28ms","365.4ms","205.66ms","73.86ms","1.28s","0.00%","100.00% 3203 out of 3203","3203   15.207274/s"
"stats-recommendations","79.22ms","110.56ms","95.44ms","68.41ms","703.31ms","0.00%","100.00% 3295 out of 3295","3295   15.680011/s"
"stats-summary","150.19ms","477.13ms","382.08ms","87.09ms","1.23s","0.00%","100.00% 3089 out of 3089","3089   14.676957/s"
"stats-timeseries","84.4ms","137.31ms","97.73ms","68.76ms","968.89ms","0.00%","100.00% 3277 out of 3277","3277   15.597738/s"
"stats-xp-history","102.62ms","276.01ms","133.39ms","75.1ms","1.09s","0.00%","100.00% 3225 out of 3225","3225   15.299775/s"
"students-leaderboard","73.06ms","98.65ms","86.14ms","66.13ms","533.02ms","0.00%","100.00% 3315 out of 3315","3315   15.721561/s"
"students-profile","79.63ms","129.04ms","96.29ms","67.14ms","641.24ms","0.00%","100.00% 3296 out of 3296","3296   15.63968/s"
"study-plans-active-context","80.49ms","105.55ms","89.36ms","67.47ms","1.59s","0.00%","100.00% 3292 out of 3292","3292   15.617163/s"
"study-plans-list","78.69ms","115.45ms","96.85ms","68.33ms","794.42ms","0.00%","100.00% 3300 out of 3300","3300   15.690936/s"
"study-plans-stats","79.08ms","112.9ms","95.4ms","69.47ms","900.41ms","0.00%","100.00% 3296 out of 3296","3296   15.673283/s"
